ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"SOBO","South Bow Corporation Common Shares","0002019061","4610","Diversified Utility","2024","FY","12.11%","0.1210727969348659","316000000","2610000000","us-gaap:ProfitLoss","us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest","","411"
"SOC","Sable Offshore Corp. Common Stock","0001831481","1311","Diversified Utility","2024","FY","-27.63%","-0.2763044177204362","-93673000","339021000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","296"
"SOJC","Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077","0000092122","4911","Electric Services","2019","FY","2.82%","0.02824620573355818","938000000","33208000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1292"
"SOJD","Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080","0000092122","4911","Electric Services","2019","FY","2.82%","0.02824620573355818","938000000","33208000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","518"
"SOJE","Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060","0000092122","4911","Electric Services","2019","FY","2.82%","0.02824620573355818","938000000","33208000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","719"
"SOJF","Southern Company (The) Series 2025A 6.50% Junior Subordinated Notes due March 15 2085","0000092122","4911","Electric Services","2019","FY","2.82%","0.02824620573355818","938000000","33208000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","549"
"SOL","Emeren Group Ltd American Depositary Shares each representing 10 shares","0001417892","4931","Electric & Other Services Combined","2024","FY","-4.15%","-0.041518588028590826","-12477000","300516000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","441"
"SPRU","Spruce Power Holding Corporation Class A Common Stock","0001772720","4911","Electric Services","2024","FY","-8332.03%","-83.32033096926713","-70489000","846000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","380"
"SR","Spire Inc. Common Stock","0001126956","4924","Natural Gas Distribution","2025","FY","2.46%","0.024570098824382724","81300000","3308900000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","763"
"SRE","DBA Sempra Common Stock","0001032208","4932","Gas & Other Services Combined","2024","FY","9.17%","0.09166613285503812","2862000000","31222000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","428"
"SREA","DBA Sempra 5.750% Junior Subordinated Notes due 2079","0001032208","4932","Gas & Other Services Combined","2024","FY","9.17%","0.09166613285503812","2862000000","31222000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","857"
"STR","Sitio Royalties Corp. Class A Common Stock","0001949543","1311","Diversified Utility","2024","FY","1.22%","0.01219677115907156","40946000","3357118000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest","","326"
"SWX","Southwest Gas Holdings Inc. Common Stock (DE)","0001692115","4923","Natural Gas Transmission & Distribution","2024","FY","5.67%","0.05673641275422801","198815000","3504187000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","451"
"TALO","Talos Energy Inc. Common Stock","0001724965","1311","Diversified Utility","2024","FY","-2.77%","-0.027681581908211204","-76393000","2759705000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","352"
"TBN","Tamboran Resources Corporation Common stock","0001997652","1311","Diversified Utility","2025","FY","-8.23%","-0.08226001779552032","-20061520","243879354","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","207"
"TLN","Talen Energy Corporation Common Stock","0001622536","4911","Electric Services","2015","FY","-7.92%","-0.07924703695096444","-341000000","4303000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","224"
"TPET","Trio Petroleum Corp. Common Stock","0001898766","1311","Diversified Utility","2024","FY","-240.33%","-2.403278734277249","-6544426","2723124","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","285"
"TRGP","Targa Resources Inc. Common Stock","0001389170","4922","Natural Gas Transmission","2024","FY","50.61%","0.506094738466286","1312000000","2592400000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","536"
"TTI","Tetra Technologies Inc. Common Stock","0000844965","1311","Diversified Utility","2024","FY","42.54%","0.42536375349611893","108284000","254568000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","715"
"TXNM","TXNM Energy Inc. Common Stock","0001108426","4911","Electric Services","2017","FY","4.71%","0.047116271140649806","79874000","1695253000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","968"
